Theta,Hm,Htmax,Htmin
22.989416,0.124247,1.379798,0.250850
22.964492,0.122949,1.381205,0.249958
22.939569,0.121646,1.382610,0.249062
22.914702,0.120343,1.384017,0.248167
22.889893,0.119040,1.385426,0.247272
22.865141,0.117737,1.386837,0.246378
22.840504,0.116437,1.388255,0.245488
22.815867,0.115134,1.389671,0.244595
22.791287,0.113830,1.391089,0.243702
22.766822,0.112531,1.392514,0.242814
22.742356,0.111227,1.393936,0.241923
22.717948,0.109923,1.395361,0.241032
22.693598,0.108619,1.396789,0.240142
22.669362,0.107319,1.398222,0.239257
22.645126,0.106015,1.399654,0.238368
22.620947,0.104711,1.401090,0.237480
22.596825,0.103407,1.402526,0.236592
22.572818,0.102106,1.403970,0.235709
22.548811,0.100802,1.405412,0.234822
22.524862,0.099498,1.406857,0.233937
22.500969,0.098193,1.408303,0.233052
22.477134,0.096889,1.409753,0.232167
22.453357,0.095585,1.411205,0.231284
22.429636,0.094280,1.412660,0.230401
22.405973,0.092976,1.414118,0.229519
22.382310,0.091668,1.415573,0.228633
22.358761,0.090363,1.417036,0.227752
22.335270,0.089059,1.418502,0.226872
22.311779,0.087751,1.419966,0.225989
22.288402,0.086446,1.421437,0.225110
22.265025,0.085138,1.422906,0.224228
22.241763,0.083834,1.424383,0.223351
22.218501,0.082526,1.425858,0.222471
22.195296,0.081218,1.427336,0.221591
22.172149,0.079910,1.428817,0.220713
22.149116,0.078606,1.430304,0.219838
22.126026,0.077294,1.431787,0.218957
22.103050,0.076012,1.433302,0.218106
22.080132,0.074703,1.434793,0.217229
22.057271,0.073393,1.436286,0.216351
22.034410,0.072081,1.437779,0.215473
22.011606,0.070768,1.439275,0.214594
21.988917,0.069459,1.440777,0.213720
21.966228,0.068146,1.442279,0.212842
21.943596,0.066834,1.443784,0.211966
21.921021,0.065526,1.445296,0.211095
21.898504,0.064213,1.446806,0.210220
21.875987,0.062897,1.448317,0.209343
21.853584,0.061585,1.449833,0.208469
21.831182,0.060270,1.451350,0.207594
21.808836,0.058945,1.452860,0.206710
21.786548,0.057631,1.454384,0.205837
21.764318,0.056318,1.455912,0.204966
21.742144,0.055002,1.457440,0.204092
21.719971,0.053686,1.458970,0.203219
21.697912,0.052375,1.460510,0.202352
21.675853,0.051066,1.462054,0.201488
21.653851,0.049746,1.463590,0.200614
21.631907,0.048427,1.465131,0.199741
21.610020,0.047108,1.466675,0.198869
21.588133,0.045789,1.468221,0.197998
21.566361,0.044471,1.469772,0.197128
21.544588,0.043151,1.471324,0.196257
21.522873,0.041831,1.472879,0.195387
21.501215,0.040512,1.474438,0.194519
21.479557,0.039189,1.475997,0.193647
21.458014,0.037870,1.477563,0.192780
21.436471,0.036548,1.479128,0.191911
21.414985,0.035226,1.480698,0.191042
21.393557,0.033904,1.482270,0.190174
21.372128,0.032578,1.483842,0.189304
21.350814,0.031257,1.485422,0.188438
21.329500,0.029932,1.487001,0.187569
21.308243,0.028607,1.488584,0.186702
21.287044,0.027286,1.490174,0.185839
21.265844,0.025958,1.491761,0.184970
21.244702,0.024631,1.493351,0.184102
21.223617,0.023303,1.494944,0.183234
21.202590,0.021976,1.496542,0.182368
21.181619,0.020649,1.498143,0.181502
21.160649,0.019318,1.499744,0.180634
21.139736,0.017988,1.501348,0.179767
21.118881,0.016658,1.502956,0.178901
21.098082,0.015328,1.504568,0.178036
21.077284,0.013995,1.506180,0.177168
21.056543,0.012662,1.507796,0.176301
21.035859,0.011330,1.509415,0.175436
21.015232,0.009997,1.511039,0.174571
20.994606,0.008661,1.512662,0.173703
20.974094,0.007329,1.514293,0.172840
20.953525,0.005990,1.515920,0.171972
20.933070,0.004655,1.517555,0.171107
20.912616,0.003317,1.519190,0.170240
20.892218,0.001979,1.520829,0.169374
20.871878,0.000641,1.522471,0.168509
