M,npr,theta,w_h
5.000000,69.000000,0.370422,2.256196
5.000000,69.100000,0.370055,2.260729
5.000000,69.200000,0.369689,2.265265
5.000000,69.300000,0.369323,2.269806
5.000000,69.400000,0.368958,2.274350
5.000000,69.500000,0.368594,2.278899
5.000000,69.600000,0.368231,2.283452
5.000000,69.700000,0.367868,2.288010
5.000000,69.800000,0.367506,2.292571
5.000000,69.900000,0.367145,2.297137
5.000000,70.000000,0.366785,2.301707
5.000000,70.100000,0.366425,2.306281
5.000000,70.200000,0.366067,2.310859
5.000000,70.300000,0.365708,2.315442
5.000000,70.400000,0.365351,2.320029
5.000000,70.500000,0.364994,2.324620
5.000000,70.600000,0.364638,2.329216
5.000000,70.700000,0.364283,2.333816
