M,second,sonic,detach,von,thrid,uevon,uedetach
1.52,1.4945,1.9495,2.7513,2.7513,3.7792,10.762,13.188
1.53,1.4954,1.9517,2.7717,2.7717,3.8347,11.019,13.425
1.54,1.4965,1.9559,2.7923,2.7923,3.8911,11.214,13.81
1.55,1.4978,1.9602,2.813,2.813,3.9485,11.413,14.06
1.56,1.4993,1.9627,2.8339,2.8339,4.0068,11.683,14.46
1.57,1.501,1.9672,2.855,2.855,4.0662,11.892,14.725
1.58,1.5029,1.9718,2.8763,2.8763,4.1266,12.106,15.141
1.59,1.505,1.9745,2.8978,2.8978,4.188,12.389,15.564
1.6,1.5072,1.9793,2.9194,2.9194,4.2504,12.614,15.852
1.61,1.5097,1.9843,2.9412,2.9412,4.3139,12.905,16.292
1.62,1.5124,1.9893,2.9633,2.9633,4.3785,13.141,16.596
1.63,1.5152,1.9945,2.9855,2.9855,4.4442,13.381,17.054
1.64,1.5182,1.9977,3.0079,3.0079,4.511,13.688,17.374
1.65,1.5214,2.003,3.0305,3.0305,4.5789,13.94,17.85
1.66,1.5248,2.0086,3.0533,3.0533,4.6479,14.255,18.188
1.67,1.5284,2.0142,3.0763,3.0763,4.7181,14.52,18.682
1.68,1.5321,2.0199,3.0994,3.0994,4.7896,14.79,19.186
1.69,1.536,2.0257,3.1228,3.1228,4.8622,15.122,19.552
1.7,1.5401,2.0295,3.1464,3.1464,4.936,15.405,20.076
1.71,1.5443,2.0355,3.1702,3.1702,5.0111,15.694,20.461
1.72,1.5488,2.0417,3.1942,3.1942,5.0874,16.044,21.006
1.73,1.5534,2.048,3.2185,3.2185,5.165,16.346,21.411
1.74,1.5581,2.0544,3.2429,3.2429,5.2439,16.707,21.977
1.75,1.563,2.0609,3.2675,3.2675,5.3241,17.024,22.563
1.76,1.5681,2.0676,3.2924,3.2924,5.4057,17.347,22.992
1.77,1.5734,2.0743,3.3175,3.3175,5.4886,17.727,23.593
1.78,1.5788,2.0812,3.3428,3.3428,5.5729,18.065,24.053
1.79,1.5844,2.0882,3.3683,3.3683,5.6587,18.458,24.677
1.8,1.5902,2.0953,3.3941,3.3941,5.7458,18.812,25.16
1.81,1.5961,2.1025,3.4201,3.4201,5.8344,19.173,25.809
1.82,1.6022,2.1123,3.4463,3.4463,5.9244,19.587,26.316
